District,Neighborhood,ID,Name
South,Sunnyside,4ea862660aaf6e05866cde62,TP Seafood Restaurant And Market
South,Sunnyside,4b305919f964a52017f924e3,Goode Company Seafood
Northeast,Trinity,5865a75365e7c70a2ff0aca4,Culichi Town
Northeast,Trinity,4bd7a32e09ecb713886a477c,Mambo Seafood
Northeast,Trinity,4e7249a6b0fb9f3b35292560,Liberty Kitchen & Oyster Bar
Northeast,Trinity,4b3975a3f964a520d75c25e3,Connie's Seafood Market & Restaurant
Southwest,University Place,4b305919f964a52017f924e3,Goode Company Seafood
Southwest,University Place,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
West,Washington Avenue Coalition,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
West,Westbranch,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
West,Westbranch,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
West,Westbranch,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
West,Westbranch,4aa33694f964a520b44320e3,Goode Company Seafood
West,Westbranch,4c0947f7a1b32d7fee6697f0,McCormick & Schmick's
Southwest,Westbury,4b21a7b0f964a520a43f24e3,Mambo Seafood
Southwest,Westbury,4c74649cff1fb60c4c85f3a7,Lotus Seafood Market
West,Westchase,4b11b5faf964a520e28223e3,Pappadeaux Seafood Kitchen
West,Westchase,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
West,Westchase,4c0947f7a1b32d7fee6697f0,McCormick & Schmick's
Southwest,Westwood,4b21a7b0f964a520a43f24e3,Mambo Seafood
Southwest,Willow Meadows,4b305919f964a52017f924e3,Goode Company Seafood
Southwest,Willow Meadows,5babc856838e59002c0a8c8a,Eunice
Northwest,Willowbrook,4cc8539fbe874688eec183af,Babin's Seafood House
Northwest,Willowbrook,5012fb57e4b05d9dc7cb5fad,Captain Tom's Seafood Kitchen
